medallion,utilization
000318C2E3E6381580E5C99910A60668,0.4444444444444444
002E3B405B6ABEA23B6305D3766140F1,0.3886363636363636
0030AD2648D81EE87796445DB61FCF20,0.7333333333333333
0036961468659D0BFC7241D92E8ED865,0.37213740458015265
0038EF45118925A510975FD0CCD67192,0.41935483870967744
0053334C798EC6C8E637657962030F99,0.2608695652173913
005DED7D6E6C45441C26981DCFBED992,0.4935400516795866
005F00B38F46E2100F4A5D0B6AAAD3AC,0.3060217176702863
00790C7BAD30B7A9E09689A13ED90042,0.32802547770700635
0094A03FFE6BAFBE0B966B1445B9B50B,0.664179104477612
009D3CCA83486B03FCE736A2F642CBA8,0.3240832507433102
009E68CADCB1BCF73CFE32DA4D78F5FD,1.0
00BD5D1AD3A96C997E49E0453A6C5DF1,0.44854881266490765
00E0904FC59DA2C363F6F70D8AAA3AFF,1.0
00FB3D49C3DE5E00247421028A43A731,0.5070993914807302
012B65864B3BE97D67DDC0D086413E0C,0.511520737327189
012F172C0351A4767F60F6B6B2CF9E86,0.2848101265822785
01389E9CF7758ECAC205EE26B2DD542A,0.34532374100719426
019AFB33C3153481B058E243DED1E570,0.43252595155709345
01BD10395EF30144C3731CF21ECFB2E1,0.42105263157894735
01C905F5CF4CD4D366979BBCF281A15E,0.5304054054054054
01D13A056D9A26F84C328DFDD5534B55,0.3333333333333333
01D8C877762B42B4F375E1449019CC79,0.5126182965299685
01DDF05F9C01F581EEC0434B78521495,0.3877995642701525
01F9F5C3B207C3D054D129D9039584B2,0.31802721088435376
02063AF23344CEA458E992EC448C5E73,0.4083769633507853
02563784A67816C40791683B705037A9,0.5973451327433629
025CAAC6524CD33D752760A147C1C374,0.4578313253012048
026C93D85C6DFD56036F4C989CCF8998,0.579088471849866
0278B837D850DB620A3367A1278F6EDD,0.21568627450980393
02861094C5C334E365C45B732A783945,0.43570057581573896
02928AFF13D7E2BEA7FC7988527965F5,0.6074766355140186
0293108C734F9B1C3CA58A43BA6535AB,0.4024691358024691
02A2214E583CDF23AE05E30966BFEFEB,0.336734693877551
02B196981B24858BCD38C205AA81D7D8,0.5041666666666667
02B5097C51EBA10438C43AC0F4BC5867,0.35094339622641507
02BFD1B64C2C80B433D3A282C828912B,1.0
02C49A409C2DC66B1DBD44A6EF1B75B5,0.34980988593155893
02D57565703BFABECFA0F40F9B80FE44,0.470404984423676
02E517E0C958416296416C6F4CDABB33,0.6496350364963503
02E5A4136FD0A775A023A005A4EABC62,1.0
02EBF943439BE7166F1AD99291E5F82B,0.560126582278481
02F32A52C7BA748739602A7C095E8193,0.4774011299435028
03055B956C21B1F915DCDB118AA79F21,0.4416058394160584
0321A1CAE98C6F5BA5E41ECAA8FE50C7,0.5325077399380805
03440BEC1C3E0DA656A6091A3CF58261,0.24476650563607086
03669FD5D1F17360C04C6415AF4173CE,0.3817292006525285
037CB433AB5895649F7A9EF37F767EF1,0.3433395872420263
